rank,ticker,company_name,theme,trend_score,volume_score,catalyst_score,quality_score,risk_penalty,total_score,action_label,formula_version,score_explanation
11,NET,Cloudflare,Cybersecurity,8.24,7.20,7.00,7.50,5.50,6.25,watch,phase5r_a_static_v1,"Static dry-run score 6.25; trend=8.24, volume=7.20, catalyst=7.00, quality=7.50, risk_penalty=5.50."
12,SNOW,Snowflake,Cloud software,7.88,7.80,6.50,7.50,5.50,6.19,watch,phase5r_a_static_v1,"Static dry-run score 6.19; trend=7.88, volume=7.80, catalyst=6.50, quality=7.50, risk_penalty=5.50."
13,AMZN,Amazon.com Inc.,Cloud software,6.44,7.40,6.50,9.00,2.50,6.18,watch,phase5r_a_static_v1,"Static dry-run score 6.18; trend=6.44, volume=7.40, catalyst=6.50, quality=9.00, risk_penalty=2.50."
14,CRWD,CrowdStrike,Cybersecurity,7.52,7.80,7.00,7.50,5.50,6.18,watch,phase5r_a_static_v1,"Static dry-run score 6.18; trend=7.52, volume=7.80, catalyst=7.00, quality=7.50, risk_penalty=5.50."
15,MSFT,Microsoft Corporation,Cloud software,6.08,7.20,6.50,9.00,1.00,6.17,watch,phase5r_a_static_v1,"Static dry-run score 6.17; trend=6.08, volume=7.20, catalyst=6.50, quality=9.00, risk_penalty=1.00."
16,DDOG,Datadog,Cloud software,7.28,8.00,6.50,7.50,5.50,6.06,watch,phase5r_a_static_v1,"Static dry-run score 6.06; trend=7.28, volume=8.00, catalyst=6.50, quality=7.50, risk_penalty=5.50."
17,PANW,Palo Alto Networks,Cybersecurity,5.96,7.00,7.00,7.50,2.50,5.81,watch,phase5r_a_static_v1,"Static dry-run score 5.81; trend=5.96, volume=7.00, catalyst=7.00, quality=7.50, risk_penalty=2.50."
18,ASML,ASML Holding,Semiconductors,5.48,7.00,7.50,7.50,2.50,5.77,watch,phase5r_a_static_v1,"Static dry-run score 5.77; trend=5.48, volume=7.00, catalyst=7.50, quality=7.50, risk_penalty=2.50."
19,SPY,SPDR S&P 500 ETF Trust,Benchmark ETF,5.48,7.00,5.00,9.50,1.00,5.72,watch,phase5r_a_static_v1,"Static dry-run score 5.72; trend=5.48, volume=7.00, catalyst=5.00, quality=9.50, risk_penalty=1.00."
20,ZS,Zscaler,Cybersecurity,6.92,6.60,7.00,7.50,5.50,5.70,watch,phase5r_a_static_v1,"Static dry-run score 5.70; trend=6.92, volume=6.60, catalyst=7.00, quality=7.50, risk_penalty=5.50."
21,QQQ,Invesco QQQ Trust,Benchmark ETF,5.84,7.00,5.00,9.50,2.50,5.68,watch,phase5r_a_static_v1,"Static dry-run score 5.68; trend=5.84, volume=7.00, catalyst=5.00, quality=9.50, risk_penalty=2.50."
22,ORCL,Oracle Corporation,Cloud software,5.60,7.20,6.50,7.50,2.50,5.66,watch,phase5r_a_static_v1,"Static dry-run score 5.66; trend=5.60, volume=7.20, catalyst=6.50, quality=7.50, risk_penalty=2.50."
23,XLK,Technology Select Sector SPDR Fund,Benchmark ETF,5.72,6.80,5.00,9.50,2.50,5.59,watch,phase5r_a_static_v1,"Static dry-run score 5.59; trend=5.72, volume=6.80, catalyst=5.00, quality=9.50, risk_penalty=2.50."
24,NOW,ServiceNow,Cloud software,5.84,5.80,6.50,7.50,2.50,5.38,watch,phase5r_a_static_v1,"Static dry-run score 5.38; trend=5.84, volume=5.80, catalyst=6.50, quality=7.50, risk_penalty=2.50."
25,EQIX,Equinix,Data centers,5.36,5.60,7.00,7.50,2.50,5.28,watch,phase5r_a_static_v1,"Static dry-run score 5.28; trend=5.36, volume=5.60, catalyst=7.00, quality=7.50, risk_penalty=2.50."
26,CRM,Salesforce,Cloud software,4.52,6.80,6.50,7.50,2.50,5.23,avoid,phase5r_a_static_v1,"Static dry-run score 5.23; trend=4.52, volume=6.80, catalyst=6.50, quality=7.50, risk_penalty=2.50."
27,DLR,Digital Realty Trust,Data centers,4.76,5.40,7.00,7.50,2.50,5.05,avoid,phase5r_a_static_v1,"Static dry-run score 5.05; trend=4.76, volume=5.40, catalyst=7.00, quality=7.50, risk_penalty=2.50."
