logged_at,work_item,status,details,provider_invoked,network_invoked,email_invoked,c7_invoked,smtp_config_read,broker_invoked,order_code_created,canonical_effect
2026-07-25T04:38:42-04:00,prior_audit_correction,superseded,"the 03:00 no-blockers row predated discovery of replay-threshold drift; this run fixed and retested that drift",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,valuation_and_market_boundaries,passed,"action transitions require ticker-bound action-grade market and valuation evidence except primary-supported broken-thesis exit review",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,direct_responses_adapter,passed,"externally injected client strict schema tools disabled store false provider receipts; not invoked or enabled",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,final_full_python_suite,passed,"258 of 258 tests passed",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,current_packet,passed,"packet 0125bf68a4d8f02e31e586752ff3b8427268c833d0c66293eac0cf73d20cb3af with 7 entities 81 sources and 0 valuation receipts",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,shadow_boundary,passed,"fixture boundary passed with no provider credential email SMTP broker order or canonical effect",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,replay_inventory,blocked_expected,"300 target packets selectable but 0 complete and only 6 of 20 issuers; readiness false; no acquisition performed",false,false,false,false,false,false,false,false
2026-07-25T04:38:42-04:00,provider_replay_gate,blocked_expected,"0 qualified packets; verifier invoked no provider network email C7 broker order or write",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,research_action_dual_axis,passed,"validated model research remains explicit while C9 and deterministic gates separately block or allow action review",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,blinded_cross_family_challenger,passed,"proposal-free challenger contract deterministic disagreement matrix and injected Anthropic adapter passed offline; no client credential or request",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,critic_confidence_portfolio_hardening,passed,"unsupported critic downgrade structurally empty transition confidence and invalid portfolio constraints fail closed",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,terminal_total_loss,passed,"exact minus 100 percent terminal loss retained in TWR drawdown and bootstrap; below minus 100 rejected",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,strict_replay_corpus_prerequisite,passed,"provider gate reruns exact manifest ledger SEC normalized text and market provenance; fake CIK text corpus rejected",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,final_full_python_suite,passed,"270 of 270 tests passed",false,false,false,false,false,false,false,false
2026-07-25T09:25:59-04:00,external_provider_and_activation,blocked_expected,"no real corpus provider call credential token cost shadow activation email broker order or canonical effect",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,ticker_evidence_freshness,passed,"hashed ticker-local SEC scan market close and valuation freshness implemented; durable SEC thesis evidence does not expire solely by age",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,research_action_operational_separation,passed,"stale market portfolio freshness verified-close and C9 limitations block action review without erasing a separately valid research class",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,issuer_chronological_split,passed,"whole-CIK chronological dev holdout with seven-day purge and embargo no issuer packet or adjacent-transition leakage; single cohort only",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,cost_aware_router,passed,"zero one two or four exact roles planned with worst-case request token and USD reservation no fallback and exact reuse binding",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,shadow_router_preprovider_gate,blocked_expected,"explicit envelope checked and receipt persisted before activation or provider construction; planned calls blocked until role-granular durable usage charging exists",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,rolling_performance_receipt,passed,"source-bound consecutive monthly ledger computes rolling 12 36 60 month CAGR downside drawdown and recovery; five-year status requires 60 months",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,sequential_portfolio_simulator,passed,"chronological paper rebalance hold abstain cash exposure position turnover cost and terminal-loss guards passed synthetic tests",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,counterfactual_freshness_rebinding,passed,"decisive SEC evidence removal now rebuilds source-bound freshness receipts; replay runner recovery suite 22 of 22 passed",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,runtime_integrity_binding,passed,"freshness cost router and shadow router gate included symmetrically in activation and replay runtime hashes",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,final_full_python_suite,passed,"332 of 332 tests passed",false,false,false,false,false,false,false,false
2026-07-25T10:08:39-04:00,external_qualification,blocked_expected,"no real corpus licensed action-grade market populated valuation real performance provider call token spend activation email broker order trade or canonical effect",false,false,false,false,false,false,false,false
2026-07-25T10:15:17-04:00,read_only_current_packet_build,passed,"packet 6186f2d2238d3039e8c7956afd458f3935e41011c9e32566c41fef545541f05b with 7 entities 81 sources 7 SEC-current 7 market-current 0 valuation-current receipts; not persisted",false,false,false,false,false,false,false,false
2026-07-25T10:33:12-04:00,exact_role_execution_ledger,passed,"fixture-only exact planned-role execution reserves before provider construction; hash-chained request input output total-token and USD accounting; interrupted unknown outcomes retain worst-case charge",false,false,false,false,false,false,false,false
2026-07-25T10:33:12-04:00,metered_role_receipts,passed,"fixture usage independently repriced from pinned model token rates; dependency hashes exact; idempotent receipts private; over-budget and non-fixture transport fail closed",false,false,false,false,false,false,false,false
2026-07-25T10:33:12-04:00,shadow_router_live_authority,blocked_expected,"exact-role fixture executor integrated but external provider execution remains unauthorized; no credential client call token spend or fallback",false,false,false,false,false,false,false,false
2026-07-25T10:33:12-04:00,multi_fold_issuer_time_validation,passed,"three expanding chronological folds with whole-CIK isolation seven-day purge and embargo per-fold packet and adjacent-transition isolation and no holdout issuer or case reuse",false,false,false,false,false,false,false,false
2026-07-25T10:33:12-04:00,final_full_python_suite,passed,"341 of 341 tests passed",false,false,false,false,false,false,false,false
2026-07-25T10:33:12-04:00,external_qualification,blocked_expected,"no real frozen fold scores corpus licensed market valuation performance provider call activation email broker order trade or canonical effect",false,false,false,false,false,false,false,false
2026-07-25T10:35:36-04:00,code_graph_refresh,passed,"graphify update completed with 3841 nodes 8607 edges and 360 communities",false,false,false,false,false,false,false,false
