row_type,metric,count,relative_path,phase5r_decision,blocker_resolution,reason,notes
waived_blocker,waived_legacy_or_out_of_scope,,03_research/email_preflight_phase5b/recipient_allowlist_policy.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/real_position_audit_phase3a/IOT_real_position_audit.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/weekly_review_agent_phase4a/IOT_weekly_review_note.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,03_research/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3a_real_position_audit.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_real_position_input_template.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_real_position_inputs_filled.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_real_position_inputs_filled_normalized.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_real_position_log.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_real_position_risk_review.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_real_risk_calculation.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3b_weekly_monitoring_checklist.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase3c_restructure_action_items.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase4a_weekly_action_labels.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase4a_weekly_real_position_alerts.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase4a_weekly_review_run_log.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase4b_email_draft_metadata.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase4b_email_draft_run_log.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase5a_email_automation_action_items.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase5b_email_preflight_results.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase5b_email_preflight_run_log.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,04_data/phase5b_recipient_allowlist.csv,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/audit_phase3a_real_position_structure.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/audit_phase3c_agent_restructure.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/calculate_phase3b_real_risk.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/check_phase4a_sec_filing_alerts.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2l_valuation_earnings_workpapers.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2m_research_decision_review.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2n_paper_plan_drafts.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2o_paper_execution_readiness.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2p_paper_execution_log_setup.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2q_execution_decision_gate.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase2r_paper_execution_log.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase3b_real_position_log.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase4a_weekly_action_labels.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/create_phase4b_weekly_email_draft.py,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/make_weekly_report.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/normalize_phase3b_real_position_inputs.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/phase5a_email_automation_preflight.py,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/phase5b_email_preflight_validator.py,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/rescore_phase2e1_candidates.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/review_8k_and_dilution_filings.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/run_phase2q_paper_risk_calculator.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/run_phase4a_weekly_real_position_review.py,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/score_phase2k_peer_data_quality.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,05_scripts/validate_phase2o_manual_chart_review.py,ARCHIVE_EVIDENCE_AFTER_APPROVAL,waived_as_out_of_scope_for_phase5r,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,06_trading/paper_trades.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,06_trading/real_trades.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,06_trading/trade_journal.csv,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,07_reviews/latest_real_position_weekly_review.md,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Existing real-position monitoring is legacy IOT/RBRK context and must not feed Phase 5R stock selection.,Old IOT/RBRK holding context is explicitly out of scope. Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,07_reviews/latest_weekly_report.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,Not part of the minimum manual-execution-safe Phase 5R dependency set.,Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,07_reviews/monthly_review_template.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,Not part of the minimum manual-execution-safe Phase 5R dependency set.,Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,07_reviews/weekly_review_template.md,EXCLUDE_FROM_PHASE5R,waived_as_out_of_scope_for_phase5r,Not part of the minimum manual-execution-safe Phase 5R dependency set.,Phase 0B blocker waived because row is out of Phase 5R scope.
waived_blocker,waived_legacy_or_out_of_scope,,tests/smoke_tests.py,LEGACY_QUARANTINE,waived_as_out_of_scope_for_phase5r,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
cleared_control_or_allowed,cleared_control_or_allowed,,.gitignore,KEEP_PROJECT_CONTROL,cleared_by_reframe,Top-level documentation or project skill remains a project control.,Project control only; no broker or order behavior authorized. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,00_rules/brokerage_boundary.md,KEEP_POLICY_CONTROL,cleared_by_reframe,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,00_rules/manual_approval_policy.md,KEEP_POLICY_CONTROL,cleared_by_reframe,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,00_rules/risk_policy.md,KEEP_POLICY_CONTROL,cleared_by_reframe,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,00_rules/trading_checklist.md,KEEP_POLICY_CONTROL,cleared_by_reframe,"Policy control required to preserve manual approval, brokerage boundary, risk, source, and trading guardrails.",Project control only; does not authorize execution or broker connectivity. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,AGENTS.md,KEEP_PROJECT_CONTROL,cleared_by_reframe,Top-level documentation or project skill remains a project control.,Project control only; no broker or order behavior authorized. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,README.md,KEEP_PROJECT_CONTROL,cleared_by_reframe,Top-level documentation or project skill remains a project control.,Project control only; no broker or order behavior authorized. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,skills/early-public-equity-research/SKILL.md,KEEP_PROJECT_CONTROL,cleared_by_reframe,Top-level documentation or project skill remains a project control.,Project control only; no broker or order behavior authorized. Phase 0B blocker cleared by Phase 0C reframe/control decision.
cleared_control_or_allowed,cleared_control_or_allowed,,skills/early-public-equity-research/references/phase_status.md,KEEP_PROJECT_CONTROL,cleared_by_reframe,Top-level documentation or project skill remains a project control.,Project control only; no broker or order behavior authorized. Phase 0B blocker cleared by Phase 0C reframe/control decision.
