relative_path,current_classification,sensitivity,touch_categories,phase_tokens,proposed_new_path,proposed_action,blocks_phase5r,review_reason,approval_question,review_owner_suggestion
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts,phase5b,07_automation/email_drafts/email_preflight_phase5b/recipient_allowlist_policy.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches email_drafts,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/filing_excerpts_phase2f/IOT_filing_excerpts.md,ARCHIVE,LOW,,phase2f,04_research/filing_excerpts/IOT_filing_excerpts.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/filing_excerpts_phase2f/RBRK_filing_excerpts.md,ARCHIVE,LOW,,phase2f,04_research/filing_excerpts/RBRK_filing_excerpts.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2g,11_archive/historical_phase_outputs/phase2e/03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2g,11_archive/historical_phase_outputs/phase2e/03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE,LOW,,phase2g;phase2h;phase2i;phase2j,11_archive/historical_phase_outputs/phase2g/03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE,LOW,,phase2g;phase2h;phase2i;phase2j,11_archive/historical_phase_outputs/phase2g/03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE,LOW,,phase2f;phase2g;phase2h,11_archive/historical_phase_outputs/phase2f/03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE,LOW,,phase2f;phase2g;phase2h,11_archive/historical_phase_outputs/phase2f/03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE,LOW,,phase2h,11_archive/historical_phase_outputs/phase2h/03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE,MEDIUM,risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE,MEDIUM,risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2o;phase2p;phase2q,05_risk_and_positions/paper_position_reviews/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,no,Phase 0A classification requires human review; Touches trade_logs;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2o;phase2p;phase2q,05_risk_and_positions/paper_position_reviews/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,no,Phase 0A classification requires human review; Touches trade_logs;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,NEEDS_HUMAN_REVIEW,MEDIUM,weekly_reviews;risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_phase2r/IOT_paper_execution_record.md,NEEDS_HUMAN_REVIEW,no,Phase 0A classification requires human review; Touches weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,NEEDS_HUMAN_REVIEW,MEDIUM,weekly_reviews;risk_rules,phase2q;phase2r,05_risk_and_positions/paper_position_reviews/paper_execution_phase2r/RBRK_paper_execution_record.md,NEEDS_HUMAN_REVIEW,no,Phase 0A classification requires human review; Touches weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2h;phase2n;phase2o;phase2p,05_risk_and_positions/paper_position_reviews/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,no,Phase 0A classification requires human review; Touches trade_logs;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,HIGH,trade_logs;risk_rules,phase2h;phase2n;phase2o;phase2p,05_risk_and_positions/paper_position_reviews/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,no,Phase 0A classification requires human review; Touches trade_logs;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE,MEDIUM,risk_rules,phase2j;phase2k;phase2m;phase2n,05_risk_and_positions/paper_position_reviews/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE,MEDIUM,risk_rules,phase2j;phase2k;phase2m;phase2n,05_risk_and_positions/paper_position_reviews/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/peer_data_phase2k/IOT_peer_data.md,ARCHIVE,LOW,,phase2k;phase2l,04_research/peer_work/peer_data_phase2k/IOT_peer_data.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE,LOW,,phase2k;phase2l,04_research/peer_work/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;risk_rules,phase3a,05_risk_and_positions/real_position_reviews/real_position_audit_phase3a/IOT_real_position_audit.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;risk_rules,phase3a,05_risk_and_positions/real_position_reviews/real_position_audit_phase3a/RBRK_real_position_audit.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;weekly_reviews;risk_rules,phase3b;phase3c,05_risk_and_positions/real_position_reviews/real_position_monitoring_phase3b/IOT_real_position_note.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;weekly_reviews;risk_rules,phase3b;phase3c,05_risk_and_positions/real_position_reviews/real_position_monitoring_phase3b/RBRK_real_position_note.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/red_team_phase2f/IOT_red_team.md,ARCHIVE,MEDIUM,risk_rules,phase2f,04_research/red_team/IOT_red_team.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/red_team_phase2f/RBRK_red_team.md,ARCHIVE,LOW,,phase2f,04_research/red_team/RBRK_red_team.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE,LOW,,phase2k;phase2l;phase2m;phase2n,11_archive/historical_phase_outputs/phase2k/03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE,LOW,,phase2k;phase2l;phase2m;phase2n,11_archive/historical_phase_outputs/phase2k/03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE,LOW,,phase2j,04_research/peer_work/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE,LOW,,phase2i;phase2j,04_research/peer_work/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE,LOW,,phase2j,04_research/peer_work/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE,LOW,,phase2i;phase2j,04_research/peer_work/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ALAB_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ARRY_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/CRSP_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/CRWV_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/ENVX_phase2e1_note.md,ARCHIVE,LOW,,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/ENVX_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/FLNC_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/IOT_phase2e1_note.md,ARCHIVE,LOW,,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/IOT_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/NVTS_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/RBRK_phase2e1_note.md,ARCHIVE,LOW,,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/RBRK_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/RXRX_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,ARCHIVE,MEDIUM,risk_rules,phase2e;phase2e1,11_archive/historical_phase_outputs/phase2e/03_research/triage_notes_phase2e1/TEM_phase2e1_note.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,ARCHIVE,MEDIUM,risk_rules,phase2h;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/IOT_next_earnings_checklist.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/valuation_earnings_phase2l/IOT_valuation_risk_workpaper.md,ARCHIVE,LOW,,phase2j;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/IOT_valuation_risk_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,ARCHIVE,MEDIUM,risk_rules,phase2h;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/RBRK_next_earnings_checklist.md,ARCHIVE_AFTER_APPROVAL,no,Touches risk_rules; Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/valuation_earnings_phase2l/RBRK_valuation_risk_workpaper.md,ARCHIVE,LOW,,phase2j;phase2k;phase2l,04_research/valuation_work/valuation_earnings_phase2l/RBRK_valuation_risk_workpaper.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/weekly_review_agent_phase4a/IOT_weekly_review_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;sec_alerts;weekly_reviews;risk_rules,phase4a,07_automation/weekly_review_agent/weekly_review_agent_phase4a/IOT_weekly_review_note.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;sec_alerts;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
03_research/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,NEEDS_HUMAN_REVIEW,HIGH,real_positions;sec_alerts;weekly_reviews;risk_rules,phase4a,07_automation/weekly_review_agent/weekly_review_agent_phase4a/RBRK_weekly_review_note.md,NEEDS_HUMAN_REVIEW,yes,Phase 0A classification requires human review; Touches real_positions;sec_alerts;weekly_reviews;risk_rules,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
04_data/phase2b_candidate_screening_results.csv,ARCHIVE,LOW,,phase2b,11_archive/historical_phase_outputs/phase2b/04_data/phase2b_candidate_screening_results.csv,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
04_data/phase2e1_8k_dilution_review.csv,ARCHIVE,LOW,,phase2e1,11_archive/historical_phase_outputs/phase2e1/04_data/phase2e1_8k_dilution_review.csv,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
04_data/phase2e1_manual_market_data_README.md,ARCHIVE,LOW,,phase2c;phase2e;phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_README.md,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
04_data/phase2e1_manual_market_data_filled.csv,ARCHIVE,LOW,,phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_filled.csv,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
04_data/phase2e1_manual_market_data_template.csv,ARCHIVE,LOW,,phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_template.csv,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
04_data/phase2e1_manual_market_data_validated.csv,ARCHIVE,LOW,,phase2e1,03_source_data/market_data_manual/phase2e1_manual_market_data_validated.csv,ARCHIVE_AFTER_APPROVAL,no,Approval required before archival/move,"Approve proposed canonical destination/action, or override before any Phase 5R work.",human_owner
