relative_path,current_proposed_action_from_phase0b,current_blocks_phase5r,touch_categories,sensitivity,phase_tokens,phase5r_decision,reason,allowed_as_phase5r_dependency,quarantine_as_legacy,requires_human_approval_before_migration,can_be_archived_after_approval,can_be_copied_to_canonical_after_approval,notes
02_filings/filing_notes/ENVX_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/FLNC_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/IOT_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/NVTS_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/RBRK_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/RXRX_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/TEM_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/filing_notes/TSLA_filing_note.md,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/ACMR_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/ALAB_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/AMD_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/ARRY_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/CRSP_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/CRWV_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/ENPH_submissions.json,COPY_TO_CANONICAL,no,,LOW,phase13ga;phase2017de;phase2017pr;phase2018de;phase2018pr;phase8,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
02_filings/sec_raw/ENVX_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/FLNC_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/IOT_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/NVTS_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/RBRK_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/RXRX_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/TEM_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
02_filings/sec_raw/TSLA_submissions.json,COPY_TO_CANONICAL,no,,LOW,,ALLOW_AFTER_REVIEW,"SEC filing source data may be useful after freshness/source review, but old files are not required to start Phase 5R.",no,no,no,no,yes,Allowed only as source evidence after review; SEC ingestion workflow is preferred.
03_research/.DS_Store,DELETE_LATER_LOCAL_CACHE_ONLY,no,,LOW,,DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; can only be removed in a later approved cleanup phase.,no,no,no,no,no,No deletion in Phase 0C.
03_research/agent_restructure_phase3c/current_structure_audit.md,NEEDS_HUMAN_REVIEW,yes,real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules,HIGH,phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,no,yes,yes,yes,no,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,NEEDS_HUMAN_REVIEW,yes,real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules,HIGH,phase3;phase3b;phase3c;phase4;phase4b;phase5,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/agent_restructure_phase3c/security_boundary.md,NEEDS_HUMAN_REVIEW,yes,email_drafts;sec_alerts;risk_rules,HIGH,phase3c;phase4;phase5,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,NEEDS_HUMAN_REVIEW,yes,email_drafts;sec_alerts,HIGH,phase3c;phase4b;phase5,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/company_memo_template.md,COPY_TO_CANONICAL,yes,risk_rules,MEDIUM,,ALLOW_AFTER_REVIEW,Generic research framework/template may support Phase 5R after review.,no,no,no,no,yes,Review before optional reuse; not part of the minimum Phase 5R start set.
03_research/company_memos_phase2f/IOT_company_memo.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1;phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/company_memos_phase2f/RBRK_company_memo.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2e;phase2e1;phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/email_automation_phase5a/email_send_gate_policy.md,NEEDS_HUMAN_REVIEW,yes,email_drafts;weekly_reviews,HIGH,phase5a,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_automation_phase5a/failure_handling_plan.md,NEEDS_HUMAN_REVIEW,yes,email_drafts,HIGH,phase5a,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_automation_phase5a/gmail_dry_run_plan.md,NEEDS_HUMAN_REVIEW,yes,email_drafts;sec_alerts;weekly_reviews,HIGH,phase5a;phase5b;phase5c;phase5d;phase5e;phase5f,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_automation_phase5a/oauth_security_plan.md,NEEDS_HUMAN_REVIEW,yes,email_drafts,HIGH,phase5a,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_draft_agent_phase4b/weekly_email_draft.html,NEEDS_HUMAN_REVIEW,yes,email_drafts;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4b,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_draft_agent_phase4b/weekly_email_draft.md,NEEDS_HUMAN_REVIEW,yes,email_drafts;sec_alerts;weekly_reviews;risk_rules,HIGH,phase4b,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,NEEDS_HUMAN_REVIEW,yes,email_drafts;risk_rules,HIGH,phase4b,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_preflight_phase5b/preflight_rules.md,NEEDS_HUMAN_REVIEW,yes,email_drafts;weekly_reviews,HIGH,phase5b,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,NEEDS_HUMAN_REVIEW,yes,email_drafts,HIGH,phase5b,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",no,yes,yes,yes,no,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/filing_excerpts_phase2f/IOT_filing_excerpts.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/filing_excerpts_phase2f/RBRK_filing_excerpts.md,ARCHIVE_AFTER_APPROVAL,no,,LOW,phase2f,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,yes,yes,no,
03_research/gpt_packets/ACMR_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/ALAB_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/AMD_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,,EXCLUDE_FROM_PHASE5R,Not part of the minimum manual-execution-safe Phase 5R dependency set.,no,no,no,no,no,
03_research/gpt_packets/ARRY_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/CRSP_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/CRWV_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/ENPH_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,,EXCLUDE_FROM_PHASE5R,Not part of the minimum manual-execution-safe Phase 5R dependency set.,no,no,no,no,no,
03_research/gpt_packets/ENVX_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/FLNC_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
03_research/gpt_packets/IOT_gpt_packet.md,COPY_TO_CANONICAL,no,,LOW,phase2b;phase2c,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",no,no,no,yes,no,
