registry_id,path_spec,path_kind,category,active_role,allowed_readers,contains_current_positions,allowed_as_active_input,decision_freshness,notes
AI-019,04_research/company_research/daily_decision.json,exact,daily_decision,current canonical daily decision,daily_sender,no,yes,current_cycle,Must match the ET cycle and active-state boundary.
AI-020,07_automation/email_briefs/daily_email_brief.txt,exact,daily_email,current plain-text daily brief,daily_sender,no,yes,current_cycle,Generated from the current daily decision only.
AI-021,07_automation/email_briefs/daily_email_brief.html,exact,daily_email,current HTML daily brief,daily_sender,no,yes,current_cycle,Generated in lockstep with text.
AI-022,07_automation/email_delivery/daily_delivery_ledger.csv,exact,delivery_record,daily duplicate and outcome ledger,daily_sender,no,yes,append_only,send_claimed sent and delivery_unknown block duplicates.
AI-023,00_project_control/daily_*policy.md,pattern,project_policy,daily workflow policy,phase5r_daily,no,yes,policy,Daily policy overrides historical weekly cadence documents.
AI-024,00_project_control/active_state_policy.md,exact,project_policy,canonical active-state and stale-file guard,phase5r_daily,no,yes,policy,Highest-level workflow authority below active state.
AI-025,01_policies/long_horizon_research_policy.json,exact,research_policy,fundamental research discovery and explicit long-horizon sensitivity parameters,phase5r_daily;long_horizon_research,no,yes,policy,Research priority and transparent assumptions only; no automatic confidence promotion or action authorization.
AI-026,04_research/company_research/long_horizon_research.local.json,exact,research_companion,source-bound company questions numerical review signals and conditional multiyear arithmetic,phase5r_daily;daily_composer;current_status;long_horizon_research,yes,yes,optional_generated_research,Missing generated receipt is allowed but must remain pending/degraded; Current-session context may expose research gaps and warnings; no action authority. Prior dated observations may support comparable-quarter research history only.
AI-027,01_policies/market_regime_policy.json,exact,research_policy,bounded market-regime confirmation and research pacing rules,phase5r_daily;market_regime,no,yes,policy,Heuristic pacing only; cannot change hard risk caps cash reserve strategic targets or create price-only exits.
AI-028,04_research/company_research/market_regime.local.json,exact,market_context,current regime receipt and distinct-close confirmation history,phase5r_daily;daily_composer;current_status;market_regime,no,yes,optional_generated_research,Missing generated receipt is allowed but must remain pending/degraded; Current completed-session receipt controls bounded new-capital confirmation only; stale or insufficient context is explicit; no trading authority.
AI-029,01_policies/official_news_sources.json,exact,official_evidence_policy,official issuer feed allowlist refresh limits and freshness contract,phase5r_daily;official_news_refresh;daily_composer;current_status;C9,no,yes,policy,Approved issuer hosts RSS/Atom URLs bounds and expected coverage; also validates issuer-source identity for optional thesis assessments.
AI-030,03_source_data/equity_research/official_news_events.local.json,exact,official_evidence,deduplicated official announcement history,phase5r_daily;official_news_refresh;daily_composer;current_status,no,yes,optional_generated_research,Missing generated receipt is allowed but must remain pending/degraded; Unclassified evidence with publication time and official URL; titles are untrusted source text and never positive-score or action authority.
AI-031,03_source_data/equity_research/official_news_status.local.json,exact,official_evidence,per-source official-news freshness and coverage receipt,phase5r_daily;official_news_refresh;daily_composer;current_status,no,yes,optional_generated_research,Missing generated receipt is allowed but must remain pending/degraded; Validate manifest/event consistency and per-source freshness; errors or retained history do not establish successful no-news coverage.
AI-032,05_risk_and_positions/thesis_reviews.local.json,exact,optional_thesis_review,optional dated source-bound analyst assessment of a specific thesis invalidation,phase5r_daily;C9,yes,yes,optional_current_review,Absence is valid and creates no exit authority. Present records require supported schema primary source actual invalidation rule and reviewer/date checks; assessments expire after 30 days and never authorize execution.
AI-033,01_policies/equity_display_names.json,exact,presentation_policy,shared user-facing names,phase5r_daily;daily_sender;report_generators,no,yes,policy,Presentation only; no decision or delivery authority.
