CRWD,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity dry-run score 6.18 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
MSFT,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software dry-run score 6.17 using static placeholders.,"Placeholder data only; low volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
DDOG,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software dry-run score 6.06 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
PANW,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity dry-run score 5.81 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
ASML,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Semiconductors dry-run score 5.77 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
SPY,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Benchmark ETF dry-run score 5.72 using static placeholders.,"Placeholder data only; low volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
ZS,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity dry-run score 5.70 using static placeholders.,"Placeholder data only; high volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
QQQ,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Benchmark ETF dry-run score 5.68 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
ORCL,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software dry-run score 5.66 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
XLK,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Benchmark ETF dry-run score 5.59 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
NOW,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software dry-run score 5.38 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
EQIX,watch,Watch only; require stronger placeholder trend/volume before manual review.,Remove from watch if score falls below 5.25 in a future dry run.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Data centers dry-run score 5.28 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
CRM,avoid,No entry; dry-run setup not acceptable.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Cloud software dry-run score 5.23 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
DLR,avoid,No entry; dry-run setup not acceptable.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,Data centers dry-run score 5.05 using static placeholders.,"Placeholder data only; medium volatility tier; human must review liquidity, news, and market regime.",yes,no,no,no
