relative_path,current_classification,sensitivity,touch_categories,phase_tokens,proposed_new_path,proposed_action,action_reason,human_approval_required,safe_to_copy_now,safe_to_move_later,safe_to_delete_later,blocks_phase5r,notes
03_research/company_memos_phase2f/RBRK_company_memo.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2f,04_research/company_memos/RBRK_company_memo.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/email_automation_phase5a/email_send_gate_policy.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;weekly_reviews,phase5a,07_automation/email_drafts/email_automation_phase5a/email_send_gate_policy.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_automation_phase5a/failure_handling_plan.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts,phase5a,07_automation/email_drafts/email_automation_phase5a/failure_handling_plan.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_automation_phase5a/gmail_dry_run_plan.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;weekly_reviews,phase5a;phase5b;phase5c;phase5d;phase5e;phase5f,07_automation/email_drafts/email_automation_phase5a/gmail_dry_run_plan.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_automation_phase5a/oauth_security_plan.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts,phase5a,07_automation/email_drafts/email_automation_phase5a/oauth_security_plan.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_draft_agent_phase4b/weekly_email_draft.html,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;weekly_reviews;risk_rules,phase4b,07_automation/email_drafts/email_draft_agent_phase4b/weekly_email_draft.html,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_draft_agent_phase4b/weekly_email_draft.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;sec_alerts;weekly_reviews;risk_rules,phase4b,07_automation/email_drafts/email_draft_agent_phase4b/weekly_email_draft.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;risk_rules,phase4b,07_automation/email_drafts/email_draft_agent_phase4b/weekly_email_subject.txt,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_preflight_phase5b/preflight_rules.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts;weekly_reviews,phase5b,07_automation/email_drafts/email_preflight_phase5b/preflight_rules.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,NEEDS_HUMAN_REVIEW,HIGH,email_drafts,phase5b,07_automation/email_drafts/email_preflight_phase5b/recipient_allowlist_policy.md,NEEDS_HUMAN_REVIEW,Phase 0A classified this file as requiring human review.,yes,no,no,no,yes,Human gate required by Phase0B touch-category rule.
03_research/filing_excerpts_phase2f/IOT_filing_excerpts.md,ARCHIVE,LOW,,phase2f,04_research/filing_excerpts/IOT_filing_excerpts.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/filing_excerpts_phase2f/RBRK_filing_excerpts.md,ARCHIVE,LOW,,phase2f,04_research/filing_excerpts/RBRK_filing_excerpts.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/gpt_packets/ACMR_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/ACMR_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/ALAB_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/ALAB_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/AMD_gpt_packet.md,MIGRATE,LOW,,,04_research/gpt_packets/AMD_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/ARRY_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/ARRY_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/CRSP_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/CRSP_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/CRWV_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/CRWV_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/ENPH_gpt_packet.md,MIGRATE,LOW,,,04_research/gpt_packets/ENPH_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/ENVX_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/ENVX_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/FLNC_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/FLNC_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/IOT_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/IOT_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/NVTS_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/NVTS_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/RBRK_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/RBRK_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/RXRX_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/RXRX_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/TEM_gpt_packet.md,MIGRATE,LOW,,phase2b;phase2c,04_research/gpt_packets/TEM_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_packets/TSLA_gpt_packet.md,MIGRATE,LOW,,,04_research/gpt_packets/TSLA_gpt_packet.md,COPY_TO_CANONICAL,Needs canonical placement; copy can be planned before any later move/delete decision.,no,yes,yes,no,no,
03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2g,11_archive/historical_phase_outputs/phase2e/03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE,LOW,,phase2e;phase2e1;phase2g,11_archive/historical_phase_outputs/phase2e/03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE,LOW,,phase2g;phase2h;phase2i;phase2j,11_archive/historical_phase_outputs/phase2g/03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE,LOW,,phase2g;phase2h;phase2i;phase2j,11_archive/historical_phase_outputs/phase2g/03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/manual_filing_review_phase2h/.DS_Store,DELETE_CANDIDATE,LOW,,phase2h,(none - local cache cleanup candidate),DELETE_LATER_LOCAL_CACHE_ONLY,Generated local cache or OS metadata; deletion is allowed only in a later cleanup phase.,no,no,no,yes,no,Do not delete in Phase 0B.
03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE,LOW,,phase2f;phase2g;phase2h,11_archive/historical_phase_outputs/phase2f/03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE,LOW,,phase2f;phase2g;phase2h,11_archive/historical_phase_outputs/phase2f/03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE,LOW,,phase2h,11_archive/historical_phase_outputs/phase2h/03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE_AFTER_APPROVAL,Historical phase artifact from Phase 0A classification.,yes,no,yes,no,no,
