relative_path,classification,classification_reason,file_kind,phase_tokens,touch_categories,recommended_next_step
01_universe/phase2c_selected_candidates.csv,MIGRATE,Universe support artifact should be normalized under canonical universe structure.,structured_data,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
01_universe/quarantined_placeholder_rows.csv,MIGRATE,Universe support artifact should be normalized under canonical universe structure.,structured_data,phase0b,,Map to canonical destination; move only in a later approved phase.
01_universe/real_candidate_sources.md,KEEP,Core universe/source file.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
01_universe/real_candidate_universe.csv,KEEP,Core universe/source file.,structured_data,,,Preserve in place or migrate only as part of approved canonical restructure.
01_universe/rejected.csv,MIGRATE,Universe support artifact should be normalized under canonical universe structure.,structured_data,,,Map to canonical destination; move only in a later approved phase.
01_universe/test_fixtures.csv,MIGRATE,Universe support artifact should be normalized under canonical universe structure.,structured_data,,,Map to canonical destination; move only in a later approved phase.
01_universe/universe.csv,KEEP,Core universe/source file.,structured_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/ACMR_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/ALAB_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/AMD_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/ARRY_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/CRSP_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/CRWV_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/ENPH_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/ENVX_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/FLNC_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/IOT_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/NVTS_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/RBRK_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/RXRX_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/TEM_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/filing_notes/TSLA_filing_note.md,KEEP,Filing source/notes area; preserve as source evidence.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/ACMR_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/ALAB_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/AMD_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/ARRY_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/CRSP_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/CRWV_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/ENPH_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,phase13ga;phase2017de;phase2017pr;phase2018de;phase2018pr;phase8,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/ENVX_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/FLNC_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/IOT_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/NVTS_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/RBRK_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/RXRX_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/TEM_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
02_filings/sec_raw/TSLA_submissions.json,KEEP,Filing source/notes area; preserve as source evidence.,json_data,,,Preserve in place or migrate only as part of approved canonical restructure.
03_research/.DS_Store,DELETE_CANDIDATE,Generated local cache/OS metadata; safe deletion should be confirmed separately.,macos_metadata,,,Do not delete now; confirm and remove only after human approval.
03_research/agent_restructure_phase3c/current_structure_audit.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c,real_positions;risk_rules;email_drafts;weekly_reviews;trade_logs,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase3;phase3b;phase3c;phase4;phase4b;phase5,real_positions;risk_rules;email_drafts;sec_alerts;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/agent_restructure_phase3c/security_boundary.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase3c;phase4;phase5,risk_rules;email_drafts;sec_alerts,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase3c;phase4b;phase5,email_drafts;sec_alerts,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/company_memo_template.md,KEEP,Reusable research template/framework.,document,,risk_rules,Preserve in place or migrate only as part of approved canonical restructure.
03_research/company_memos_phase2f/IOT_company_memo.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2e;phase2e1;phase2f,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/company_memos_phase2f/RBRK_company_memo.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2e;phase2e1;phase2f,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/email_automation_phase5a/email_send_gate_policy.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase5a,email_drafts;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_automation_phase5a/failure_handling_plan.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase5a,email_drafts,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_automation_phase5a/gmail_dry_run_plan.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase5a;phase5b;phase5c;phase5d;phase5e;phase5f,email_drafts;sec_alerts;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_automation_phase5a/oauth_security_plan.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase5a,email_drafts,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_draft_agent_phase4b/weekly_email_draft.html,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase4b,risk_rules;email_drafts;sec_alerts;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_draft_agent_phase4b/weekly_email_draft.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase4b,risk_rules;email_drafts;sec_alerts;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase4b,risk_rules;email_drafts,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_preflight_phase5b/preflight_rules.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase5b,email_drafts;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,NEEDS_HUMAN_REVIEW,"Touches email drafts, recipients, Gmail/OAuth, or send-gate workflow.",document,phase5b,email_drafts,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/filing_excerpts_phase2f/IOT_filing_excerpts.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2f,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/filing_excerpts_phase2f/RBRK_filing_excerpts.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2f,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/gpt_packets/ACMR_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/ALAB_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/AMD_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/ARRY_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/CRSP_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/CRWV_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/ENPH_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/ENVX_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/FLNC_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/IOT_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/NVTS_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/RBRK_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/RXRX_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/TEM_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2b;phase2c,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_packets/TSLA_gpt_packet.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,,,Map to canonical destination; move only in a later approved phase.
03_research/gpt_review_phase2g/IOT_gpt_review.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2e;phase2e1;phase2g,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/gpt_review_phase2g/RBRK_gpt_review.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2e;phase2e1;phase2g,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2g;phase2h;phase2i;phase2j,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2g;phase2h;phase2i;phase2j,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/manual_filing_review_phase2h/.DS_Store,DELETE_CANDIDATE,Generated local cache/OS metadata; safe deletion should be confirmed separately.,macos_metadata,phase2h,,Do not delete now; confirm and remove only after human approval.
03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2f;phase2g;phase2h,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2f;phase2g;phase2h,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,ARCHIVE,Historical phase research/workpaper artifact.,structured_data,phase2h,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2q;phase2r,risk_rules,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2q;phase2r,risk_rules,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase2o;phase2p;phase2q,risk_rules;trade_logs,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase2o;phase2p;phase2q,risk_rules;trade_logs,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,NEEDS_HUMAN_REVIEW,Operational alert/review workflow; review current use before migration.,document,phase2q;phase2r,risk_rules;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,NEEDS_HUMAN_REVIEW,Operational alert/review workflow; review current use before migration.,document,phase2q;phase2r,risk_rules;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase2h;phase2n;phase2o;phase2p,risk_rules;trade_logs,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase2h;phase2n;phase2o;phase2p,risk_rules;trade_logs,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2j;phase2k;phase2m;phase2n,risk_rules,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2j;phase2k;phase2m;phase2n,risk_rules,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/peer_data_phase2k/IOT_peer_data.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2k;phase2l,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/peer_data_phase2k/RBRK_peer_data.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2k;phase2l,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase3a,real_positions;risk_rules,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase3a,real_positions;risk_rules,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase3b;phase3c,real_positions;risk_rules;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,NEEDS_HUMAN_REVIEW,Touches real positions or trade logs; review before migration or cleanup.,document,phase3b;phase3c,real_positions;risk_rules;weekly_reviews,"Human must confirm sensitivity/current use before migration, archiving, or deletion."
03_research/red_team_phase2f/IOT_red_team.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2f,risk_rules,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/red_team_phase2f/RBRK_red_team.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2f,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/research_decision_phase2m/IOT_research_decision.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2k;phase2l;phase2m;phase2n,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/research_decision_phase2m/RBRK_research_decision.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2k;phase2l;phase2m;phase2n,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/scenario_peer_work_phase2j/IOT_peer_framework.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2j,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/scenario_peer_work_phase2j/IOT_scenario_workpaper.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2i;phase2j,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/scenario_peer_work_phase2j/RBRK_peer_framework.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2j,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/scenario_peer_work_phase2j/RBRK_scenario_workpaper.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2i;phase2j,,Retain as historical evidence; archive only in a later approved cleanup phase.
03_research/sector_frameworks/ai_infrastructure_framework.md,KEEP,Reusable research template/framework.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
03_research/sector_frameworks/biotech_framework.md,KEEP,Reusable research template/framework.,document,phase1;phase2;phase3,,Preserve in place or migrate only as part of approved canonical restructure.
03_research/sector_frameworks/clean_tech_framework.md,KEEP,Reusable research template/framework.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
03_research/sector_frameworks/semiconductor_framework.md,KEEP,Reusable research template/framework.,document,,,Preserve in place or migrate only as part of approved canonical restructure.
03_research/triage_notes/ACMR_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/ALAB_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/ARRY_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/CRSP_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/CRWV_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/ENVX_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/FLNC_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/IOT_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/NVTS_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/RBRK_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/RXRX_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes/TEM_triage_note.md,MIGRATE,Research artifact should be placed in canonical research hierarchy.,document,phase2e,,Map to canonical destination; move only in a later approved phase.
03_research/triage_notes_phase2e1/ACMR_phase2e1_note.md,ARCHIVE,Historical phase research/workpaper artifact.,document,phase2e;phase2e1,risk_rules,Retain as historical evidence; archive only in a later approved cleanup phase.
