relative_path,file_type,active_or_historical,stale_value_or_logic,current_usage,financial_impact,must_change_for_c9,recommended_action,notes
08_reviews/current/latest_phase5r_c6_weekly_email_preview.md,generated_markdown,active,"Preview embeds the stale C6 body",Current human preview,"May be mistaken for current account guidance",yes,REGENERATE_UNDER_C9,"Preview only; no send."
04_research/realtime_stock_picker_phase5r/phase5r_c6_weekly_email_report.md,generated_markdown,active,"Composition summary and labels derive from stale C5/C5T inputs",C6 readable status,"Can falsely validate stale current content",yes,REGENERATE_UNDER_C9,"Do not treat prior phase verification as C9 verification."
00_project_control/phase5r_c7_pipeline_status_report.md,generated_markdown,active,"Latest C7 status was produced by the pre-C9 C4R-through-C6 chain",Current pipeline status,"A rerun would regenerate and may send stale-denominator content",yes,REGENERATE_UNDER_C9,"C7 was not run in C9A."
04_research/realtime_stock_picker_phase5r/phase5r_c7_pipeline_report.md,generated_markdown,active,"Workflow narrative and latest status describe the pre-C9 chain",Current C7 research summary,"Treats old pipeline outputs as current",yes,REGENERATE_UNDER_C9,"D3 is inhibited."
09_scripts/phase5r/validate_phase5r_c4_position_state.py,python_script,active,"Requires and sums stored position_pct as current truth; derives cash as 100 minus stored percentages",C7 step 1,"Seeds stale sleeve cash and cap-breach state",yes,MIGRATE_FOR_C9,"Validate shares and account inputs; do not require stored position_pct as current."
09_scripts/phase5r/refresh_phase5r_c4r_current_position_intake.py,python_script,active,"ACCOUNT_VALUE_USD=1000 and all values/statuses derive from stored position_pct",C7 step 2,"Hardcodes the obsolete denominator at the top of the active chain",yes,MIGRATE_FOR_C9,"Read future account state and current B2 prices."
09_scripts/phase5r/create_phase5r_c5_research_queue.py,python_script,active,"Sorts and writes current positions from stored position_pct; hardcodes candidate sleeve-above-target status",C7 step 6,"Propagates stale current weights and portfolio state",yes,MIGRATE_FOR_C9,"Read recalculated C9 concentration output."
09_scripts/phase5r/create_phase5r_c5_company_research_packets.py,python_script,active,"Hardcoded 29.59% 17.75% 47.34% risk text; fixed fit scores and labels",C7 step 7,"Mixes stable research evidence with stale financial logic",yes,MIGRATE_PORTFOLIO_FIELDS,"Separate evidence from dynamic portfolio-fit generation."
09_scripts/phase5r/score_phase5r_c5_weekly_conviction.py,python_script,active,"Trusts C4R position_pct and above-target status to set trim and candidate labels",C7 step 8,"Changes total scores and actions using obsolete state",yes,MIGRATE_FOR_C9,"Require recalculated C9 weights/statuses."
09_scripts/phase5r/create_phase5r_c5_weekly_conviction_memo.py,python_script,active,"Hardcodes above-30% sleeve and both positions above 8% wording",C7 step 9,"Can regenerate stale claims even after upstream values change",yes,MIGRATE_FOR_C9,"Generate all portfolio claims from current inputs."
09_scripts/phase5r/create_phase5r_c5t_trim_scenarios.py,python_script,active,"Parses account total and prices from free-form notes; falls back to 1000; trusts stored position_pct",C7 step 10,"Produces incorrect dollars shares cash release and cap scenarios",yes,MIGRATE_FOR_C9,"Use account-state JSON shares and canonical B2 price; remove fallback."
09_scripts/phase5r/create_phase5r_c5t_manual_action_plan.py,python_script,active,"Reads stored position_pct and hardcodes 1000 47.34 29.59 17.75 plus scenario conclusions",C7 step 11,"Can reintroduce stale claims despite an updated scenario table",yes,MIGRATE_FOR_C9,"Build narrative from verified C9 outputs only."
09_scripts/phase5r/create_phase5r_c6_weekly_email_brief.py,python_script,active,"Reads local stored position_pct and republishes C5/C5T scenario weights labels and cash",C7 step 12,"Would compose obsolete financial guidance",yes,MIGRATE_FOR_C9,"Consume C9 outputs and validate account/price provenance."
09_scripts/phase5r/run_phase5r_c7_weekly_conviction_pipeline.py,python_script,active,"Orchestrates every stale C4R-through-C6 stage and defaults to live send",Active manual and D3-invoked pipeline,"Could regenerate and send stale-denominator content",yes,MIGRATE_FOR_C9,"Do not run until C9 chain and send boundary are verified."
09_scripts/phase5r/run_phase5r_d3_weekly_catchup.py,python_script,active,"Previously could invoke the pre-C9 C7 chain unattended when due",Loaded catch-up scheduler,"Scheduler timing could expose stale financial outputs",yes,MAINTENANCE_GUARD_ADDED,"C9A added fail-closed inhibit; normal already-sent guard remains unchanged."
07_automation/scheduler/check_phase5r_d3_catchup_status.sh,shell_script,active,"Previously did not display the C9 maintenance state",Read-only D3 operator status,"Could misleadingly report protections clear",yes,MAINTENANCE_STATUS_UPDATED,"Now reports phase5r_c9_maintenance_inhibit as blocked."
00_project_control/run_logs/phase5r_c4r_run_log.csv,csv_log,historical,"Dated rows record account_value_usd=1000 and old sleeve/cash results",Historical audit only,"No impact if never used as current input",no,PRESERVE_HISTORY,"Do not rewrite historical records."
00_project_control/run_logs/phase5r_c5t_run_log.csv,csv_log,historical,"Dated rows record 1000 USD scenario generation",Historical audit only,"No impact if never used as current input",no,PRESERVE_HISTORY,"Do not rewrite historical records."
00_project_control/run_logs/phase5r_c7_weekly_pipeline_run_log.csv,csv_log,historical,"Prior runs record production of the stale output chain",Historical audit only,"No impact if never used as current input",no,PRESERVE_HISTORY,"C9A added no C7 run row."
