source_path,reason,touch_categories,phase0c_decision,sensitivity,legacy_quarantine_status,blocks_archive_cleanup,notes
02_filings/filing_notes/CRSP_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/CRWV_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/ENPH_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/ENVX_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/FLNC_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/IOT_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/NVTS_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/RBRK_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/RXRX_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/TEM_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/filing_notes/TSLA_filing_note.md,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/ACMR_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/ALAB_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/AMD_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/ARRY_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/CRSP_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/CRWV_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/ENPH_submissions.json,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/ENVX_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/FLNC_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/IOT_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/NVTS_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/RBRK_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/RXRX_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/TEM_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
02_filings/sec_raw/TSLA_submissions.json,phase0c_decision=ALLOW_AFTER_REVIEW,,ALLOW_AFTER_REVIEW,LOW,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/agent_restructure_phase3c/current_structure_audit.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules; sensitivity=HIGH,real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules; sensitivity=HIGH,real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/agent_restructure_phase3c/security_boundary.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;sec_alerts;risk_rules; sensitivity=HIGH,email_drafts;sec_alerts;risk_rules,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;sec_alerts; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;sec_alerts,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/company_memo_template.md,phase0c_decision=ALLOW_AFTER_REVIEW; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ALLOW_AFTER_REVIEW,MEDIUM,no,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/company_memos_phase2f/IOT_company_memo.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/company_memos_phase2f/RBRK_company_memo.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_automation_phase5a/email_send_gate_policy.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;weekly_reviews; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;weekly_reviews,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_automation_phase5a/failure_handling_plan.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_automation_phase5a/gmail_dry_run_plan.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;sec_alerts;weekly_reviews; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;sec_alerts;weekly_reviews,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_automation_phase5a/oauth_security_plan.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_draft_agent_phase4b/weekly_email_draft.html,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;sec_alerts;weekly_reviews;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;sec_alerts;weekly_reviews;risk_rules,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_draft_agent_phase4b/weekly_email_draft.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;sec_alerts;weekly_reviews;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;sec_alerts;weekly_reviews;risk_rules,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_draft_agent_phase4b/weekly_email_subject.txt,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;risk_rules,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_preflight_phase5b/preflight_rules.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts;weekly_reviews; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts;weekly_reviews,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/email_preflight_phase5b/recipient_allowlist_policy.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=EXCLUDE_FROM_PHASE5R; touch_categories=email_drafts; sensitivity=HIGH; path_or_name_matches_sensitive_surface,email_drafts,EXCLUDE_FROM_PHASE5R,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/filing_excerpts_phase2f/IOT_filing_excerpts.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/filing_excerpts_phase2f/RBRK_filing_excerpts.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/ACMR_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/ALAB_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/AMD_gpt_packet.md,phase0c_decision=EXCLUDE_FROM_PHASE5R,,EXCLUDE_FROM_PHASE5R,LOW,no,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/ARRY_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/CRSP_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/CRWV_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/ENPH_gpt_packet.md,phase0c_decision=EXCLUDE_FROM_PHASE5R,,EXCLUDE_FROM_PHASE5R,LOW,no,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/ENVX_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/FLNC_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/IOT_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/NVTS_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/RBRK_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/RXRX_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/TEM_gpt_packet.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_packets/TSLA_gpt_packet.md,phase0c_decision=EXCLUDE_FROM_PHASE5R,,EXCLUDE_FROM_PHASE5R,LOW,no,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_review_phase2g/IOT_gpt_review.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/gpt_review_phase2g/RBRK_gpt_review.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/human_notes_synthesis_phase2i/IOT_synthesis.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/human_notes_synthesis_phase2i/RBRK_synthesis.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/manual_filing_review_phase2h/IOT_manual_filing_review.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/manual_filing_review_phase2h/RBRK_manual_filing_review.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/manual_filing_review_phase2h/phase2h_review_tracker.csv,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_decision_phase2q/IOT_phase2q_decision_gate.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_decision_phase2q/RBRK_phase2q_decision_gate.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_log_phase2p/IOT_paper_execution_log_setup.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=trade_logs;risk_rules; sensitivity=HIGH,trade_logs;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_log_phase2p/RBRK_paper_execution_log_setup.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=trade_logs;risk_rules; sensitivity=HIGH,trade_logs;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_phase2r/IOT_paper_execution_record.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=weekly_reviews;risk_rules; sensitivity=MEDIUM,weekly_reviews;risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_phase2r/RBRK_paper_execution_record.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=weekly_reviews;risk_rules; sensitivity=MEDIUM,weekly_reviews;risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_readiness_phase2o/IOT_paper_execution_readiness.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=trade_logs;risk_rules; sensitivity=HIGH,trade_logs;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_execution_readiness_phase2o/RBRK_paper_execution_readiness.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=trade_logs;risk_rules; sensitivity=HIGH,trade_logs;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_plan_drafts_phase2n/IOT_paper_plan_draft.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/paper_plan_drafts_phase2n/RBRK_paper_plan_draft.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/peer_data_phase2k/IOT_peer_data.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/peer_data_phase2k/RBRK_peer_data.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/real_position_audit_phase3a/IOT_real_position_audit.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=real_positions;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,real_positions;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/real_position_audit_phase3a/RBRK_real_position_audit.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=real_positions;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,real_positions;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/real_position_monitoring_phase3b/IOT_real_position_note.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=real_positions;weekly_reviews;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,real_positions;weekly_reviews;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/real_position_monitoring_phase3b/RBRK_real_position_note.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=LEGACY_QUARANTINE; touch_categories=real_positions;weekly_reviews;risk_rules; sensitivity=HIGH; path_or_name_matches_sensitive_surface,real_positions;weekly_reviews;risk_rules,LEGACY_QUARANTINE,HIGH,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/red_team_phase2f/IOT_red_team.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL; touch_categories=risk_rules; sensitivity=MEDIUM,risk_rules,ARCHIVE_EVIDENCE_AFTER_APPROVAL,MEDIUM,yes,yes,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/red_team_phase2f/RBRK_red_team.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/research_decision_phase2m/IOT_research_decision.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/research_decision_phase2m/RBRK_research_decision.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
03_research/scenario_peer_work_phase2j/IOT_peer_framework.md,listed_in_phase0c_legacy_quarantine_plan; phase0c_decision=ARCHIVE_EVIDENCE_AFTER_APPROVAL,,ARCHIVE_EVIDENCE_AFTER_APPROVAL,LOW,yes,no,Preserved in place during Phase 0E; no copy/move/delete performed.
